"CubeId";"rendopar"
"PublishingDate";"2025-09-01 14:30"

"Date";"d0";"Value"
"1988-04-06";"b1";
"1988-04-06";"b2";
"1988-04-06";"b3";
"1988-04-06";"t1";
"1988-04-06";"t2";
"1988-04-07";"b0";
"1988-04-07";"b1";
"1988-04-07";"b2";
"1988-04-07";"b3";
"1988-04-07";"t1";
"1988-04-07";"t2";
"1988-04-08";"b0";
"1988-04-08";"b1";
"1988-04-08";"b2";
"1988-04-08";"b3";
"1988-04-08";"t1";
"1988-04-08";"t2";
"1988-04-11";"b0";"4.214"
"1988-04-11";"b1";"-2.479"
"1988-04-11";"b2";"-2.448"
"1988-04-11";"b3";"-0.272"
"1988-04-11";"t1";"0.38"
"1988-04-11";"t2";"1.674"
"1988-04-12";"b0";
"1988-04-12";"b1";
"1988-04-12";"b2";
"1988-04-12";"b3";
"1988-04-12";"t1";
"1988-04-12";"t2";
"1988-04-13";"b0";
"1988-04-13";"b1";
"1988-04-13";"b2";
"1988-04-13";"b3";
"1988-04-13";"t1";
"1988-04-13";"t2";
"1988-04-14";"b0";
"1988-04-14";"b1";
"1988-04-14";"b2";
"1988-04-14";"b3";
"1988-04-14";"t1";
"1988-04-14";"t2";
"1988-04-15";"b0";
"1988-04-15";"b1";
"1988-04-15";"b2";
"1988-04-15";"b3";
"1988-04-15";"t1";
"1988-04-15";"t2";
"1988-04-18";"b0";"4.213"
"1988-04-18";"b1";"-3.156"
"1988-04-18";"b2";"-0.51"
"1988-04-18";"b3";"1.49"
"1988-04-18";"t1";"0.94"
"1988-04-18";"t2";"0.405"
"1988-04-19";"b0";
"1988-04-19";"b1";
"1988-04-19";"b2";
"1988-04-19";"b3";
"1988-04-19";"t1";
"1988-04-19";"t2";
"1988-04-20";"b0";
"1988-04-20";"b1";
"1988-04-20";"b2";
"1988-04-20";"b3";
"1988-04-20";"t1";
"1988-04-20";"t2";
"1988-04-21";"b0";
"1988-04-21";"b1";
"1988-04-21";"b2";
"1988-04-21";"b3";
"1988-04-21";"t1";
"1988-04-21";"t2";
"1988-04-22";"b0";
"1988-04-22";"b1";
"1988-04-22";"b2";
"1988-04-22";"b3";
"1988-04-22";"t1";
"1988-04-22";"t2";
"1988-04-25";"b0";"4.505"
"1988-04-25";"b1";"-2.955"
"1988-04-25";"b2";"-2.165"
